store,item,date,forecast,lower_95,upper_95
1,2,2018-02-04,58.5,48.3,68.6
1,2,2018-02-05,37.5,27.7,46.8
1,2,2018-02-06,44.6,34.3,54.7
1,2,2018-02-07,45.6,36.3,55.1
1,2,2018-02-08,48.6,38.3,57.9
1,2,2018-02-09,52.2,41.9,61.9
1,2,2018-02-10,56.3,45.9,65.9
1,2,2018-02-11,59.9,50.2,70.3
1,2,2018-02-12,39.1,29.4,49.1
1,2,2018-02-13,46.2,36.5,55.5
1,2,2018-02-14,47.3,36.7,57.3
1,2,2018-02-15,50.5,41.1,61.3
1,2,2018-02-16,54.2,44.5,64.1
1,2,2018-02-17,58.3,48,67.9
1,2,2018-02-18,62.1,52.3,71.2
1,2,2018-02-19,41.3,31.2,51.6
1,2,2018-02-20,48.5,39.1,58.4
1,2,2018-02-21,49.8,39.3,59.5
1,2,2018-02-22,52.9,42.1,63.4
1,2,2018-02-23,56.7,47,67.1
1,2,2018-02-24,60.9,51,71.3
1,2,2018-02-25,64.6,55.3,75.3
1,2,2018-02-26,43.8,33.7,53.2
1,2,2018-02-27,51,40.7,60.5
1,2,2018-02-28,52.2,42.5,62.4
1,2,2018-03-01,55.3,45,65.5
1,2,2018-03-02,59,48.7,68.5
1,2,2018-03-03,63.1,53.6,73.2
1,2,2018-03-04,66.7,56.8,76.5
1,2,2018-03-05,45.8,35.3,55.9
1,2,2018-03-06,52.9,42.4,63.3
1,2,2018-03-07,54,45,64.1
1,2,2018-03-08,57,47,67.1
1,2,2018-03-09,60.5,51,70.7
1,2,2018-03-10,64.5,54.5,74.3
1,2,2018-03-11,68,58.6,77.6
1,2,2018-03-12,47,37.3,57.9
1,2,2018-03-13,54,44,63.6
1,2,2018-03-14,55,45.1,64.6
1,2,2018-03-15,57.9,47.4,67.5
1,2,2018-03-16,61.4,51.3,71.6
1,2,2018-03-17,65.4,55.4,75.6
1,2,2018-03-18,68.9,58.8,78.9
1,2,2018-03-19,48,37.7,57.7
1,2,2018-03-20,55,45.1,64.8
1,2,2018-03-21,56.1,46.6,65.6
1,2,2018-03-22,59.1,49.2,69.2
1,2,2018-03-23,62.7,52.9,72.7
1,2,2018-03-24,66.8,57.2,77.3
1,2,2018-03-25,70.4,60.7,79.8
1,2,2018-03-26,49.6,40,59.9
1,2,2018-03-27,56.7,46.9,66.8
1,2,2018-03-28,57.9,47.6,67.1
1,2,2018-03-29,61,51.4,71.1
1,2,2018-03-30,64.7,55.1,75
1,2,2018-03-31,68.9,59.1,79.1
1,3,2018-01-01,22.2,13.9,29.8
1,3,2018-01-02,25.8,18.4,33.9
1,3,2018-01-03,26.4,18.9,33.7
1,3,2018-01-04,28.2,20.8,35.9
1,3,2018-01-05,31,23.1,38.8
1,3,2018-01-06,32.9,25.1,40.4
1,3,2018-01-07,35.7,28.6,43.2
1,3,2018-01-08,22.6,14.5,29.7
1,3,2018-01-09,26.1,18.5,33.9
1,3,2018-01-10,26.7,18.9,34.3
1,3,2018-01-11,28.5,21.2,36.2
1,3,2018-01-12,31.2,23.9,38.4
1,3,2018-01-13,33,25.3,40.6
1,3,2018-01-14,35.8,28.4,43.8
1,3,2018-01-15,22.7,15.2,30.5
1,3,2018-01-16,26.2,18.3,33.9
1,3,2018-01-17,26.7,19.3,34.2
1,3,2018-01-18,28.5,20.8,36
1,3,2018-01-19,31.2,23.7,39.3
1,3,2018-01-20,33.1,25.3,40.4
1,3,2018-01-21,35.9,28.5,43.8
1,3,2018-01-22,22.8,14.8,30.3
1,3,2018-01-23,26.3,18.2,33.9
1,3,2018-01-24,26.8,18.9,34.4
1,3,2018-01-25,28.7,20.7,36
1,3,2018-01-26,31.4,24.3,39.4
1,3,2018-01-27,33.3,25.8,40.7
1,3,2018-01-28,36.2,28.7,44.2
1,3,2018-01-29,23.2,15.3,31.1
1,3,2018-01-30,26.7,19.6,34.5
1,3,2018-01-31,27.4,19.7,35.4
1,3,2018-02-01,29.3,22.2,37.1
1,3,2018-02-02,32.1,24.2,40.1
1,3,2018-02-03,34,26.1,42.1
1,3,2018-02-04,36.9,29.8,44.5
1,3,2018-02-05,23.9,16.8,32.2
1,3,2018-02-06,27.5,20.5,35
1,3,2018-02-07,28.2,21.1,35.9
1,3,2018-02-08,30.1,22.6,38.1
1,3,2018-02-09,32.9,24.8,40.6
1,3,2018-02-10,34.9,27.1,42.7
1,3,2018-02-11,37.8,30.2,45.5
1,3,2018-02-12,24.8,16.8,32.9
1,3,2018-02-13,28.4,20.9,35.7
1,3,2018-02-14,29.1,21.7,36.9
1,3,2018-02-15,31,23.7,38.4
1,3,2018-02-16,33.7,26.5,41.5
1,3,2018-02-17,35.7,28.2,43.5
1,3,2018-02-18,38.6,30.7,46.2
1,3,2018-02-19,25.6,18,34
1,3,2018-02-20,29.1,20.9,36.2
1,3,2018-02-21,29.8,22.3,37.6
1,3,2018-02-22,31.7,23.9,39.2
1,3,2018-02-23,34.4,26.9,41.9
1,3,2018-02-24,36.4,29.1,44.7
1,3,2018-02-25,39.3,31.3,46.6
1,3,2018-02-26,26.3,18.4,33.8
1,3,2018-02-27,29.8,22.1,37.6
1,3,2018-02-28,30.5,23,38.1
1,3,2018-03-01,32.4,24.8,40.2
1,3,2018-03-02,35.2,27.8,42.6
1,3,2018-03-03,37.2,29,44.8
1,3,2018-03-04,40.2,32.5,48.3
1,3,2018-03-05,27.2,19.5,34.7
1,3,2018-03-06,30.8,23.6,39
1,3,2018-03-07,31.6,23.7,39.2
1,3,2018-03-08,33.6,26.4,41.3
1,3,2018-03-09,36.4,29.4,43.8
1,3,2018-03-10,38.5,30.6,45.7
1,3,2018-03-11,41.5,33.9,49.2
1,3,2018-03-12,28.6,20.8,36.4
1,3,2018-03-13,32.3,24.6,39.1
1,3,2018-03-14,33.1,25.3,40.9
1,3,2018-03-15,35.1,27.6,42.4
1,3,2018-03-16,38,30.4,45.8
1,3,2018-03-17,40.1,32.8,47.8
1,3,2018-03-18,43.1,36,51.1
1,3,2018-03-19,30.2,21.8,37.6
1,3,2018-03-20,33.9,26,41.4
1,3,2018-03-21,34.6,27.2,42.3
1,3,2018-03-22,36.7,29.3,44.2
1,3,2018-03-23,39.5,31.8,46.5
1,3,2018-03-24,41.6,34,48.9
1,3,2018-03-25,44.5,37.2,51.6
1,3,2018-03-26,31.6,23.8,39
1,3,2018-03-27,35.2,27.2,42.6
1,3,2018-03-28,35.9,28.3,44.3
1,3,2018-03-29,37.9,29.8,46
1,3,2018-03-30,40.7,32.7,48.5
1,3,2018-03-31,42.6,35.3,50
1,4,2018-01-01,13.1,7.2,18.7
1,4,2018-01-02,16.1,10,22.4
1,4,2018-01-03,16.1,10.1,21.8
1,4,2018-01-04,18,12.4,23.5
1,4,2018-01-05,18.4,12.5,24.4
1,4,2018-01-06,20.2,14,25.8
1,4,2018-01-07,21.1,15.2,26.9
1,4,2018-01-08,12.9,7.4,18.6
1,4,2018-01-09,15.8,10.4,21.5
1,4,2018-01-10,15.8,10,21.4
1,4,2018-01-11,17.6,11.6,23.6
1,4,2018-01-12,17.9,11.7,23.6
1,4,2018-01-13,19.7,13.9,25.3
1,4,2018-01-14,20.6,14.5,26.2
1,4,2018-01-15,12.4,6.3,18.3
1,4,2018-01-16,15.3,9.5,21.3
1,4,2018-01-17,15.3,9.7,20.8
1,4,2018-01-18,17.1,11.2,23
1,4,2018-01-19,17.5,11.4,23.2
1,4,2018-01-20,19.4,13.5,25.1
1,4,2018-01-21,20.3,14.4,25.9
1,4,2018-01-22,12.2,6.5,18.2
1,4,2018-01-23,15.2,9.5,21.2
1,4,2018-01-24,15.3,9.6,21
1,4,2018-01-25,17.3,11.6,23.5
1,4,2018-01-26,17.8,12.1,23.5
1,4,2018-01-27,19.8,14,24.9
1,4,2018-01-28,20.8,14.8,26.2
1,4,2018-01-29,12.8,7.3,18.6
1,4,2018-01-30,15.9,9.9,21.7
1,4,2018-01-31,16,10.2,22
1,4,2018-02-01,18.1,12.6,23.8
1,4,2018-02-02,18.6,12.7,23.9
1,4,2018-02-03,20.6,15.1,26.2
1,4,2018-02-04,21.7,15.7,27.1
1,4,2018-02-05,13.7,7.7,19.5
1,4,2018-02-06,16.7,10.4,22.1
1,4,2018-02-07,16.9,11.2,22.7
1,4,2018-02-08,18.9,12.7,24.7
1,4,2018-02-09,19.3,13.7,25.3
1,4,2018-02-10,21.3,15.5,27.4
1,4,2018-02-11,22.3,16.6,27.6
1,4,2018-02-12,14.2,8.6,20
1,4,2018-02-13,17.3,11.3,23
1,4,2018-02-14,17.3,11.3,23.1
1,4,2018-02-15,19.3,13.7,24.9
1,4,2018-02-16,19.7,13.7,25.7
1,4,2018-02-17,21.6,16,27.5
1,4,2018-02-18,22.5,16.6,28.1
1,4,2018-02-19,14.5,8.9,20.4
1,4,2018-02-20,17.4,11.6,23.1
1,4,2018-02-21,17.5,11.7,23.6
1,4,2018-02-22,19.4,13.8,25.4
1,4,2018-02-23,19.8,14.3,25.4
1,4,2018-02-24,21.8,15.5,27.3
1,4,2018-02-25,22.8,16.7,28.3
1,4,2018-02-26,14.7,9.3,20.2
1,4,2018-02-27,17.7,12.1,23.5
1,4,2018-02-28,17.8,11.7,23.3
1,4,2018-03-01,19.8,14.1,26.1
1,4,2018-03-02,20.3,14.1,26.2
1,4,2018-03-03,22.3,16.6,28.1
1,4,2018-03-04,23.3,17.4,29.1
1,4,2018-03-05,15.3,9.1,21.2
1,4,2018-03-06,18.4,12.8,24.4
1,4,2018-03-07,18.6,12.5,24.2
1,4,2018-03-08,20.6,14.5,26.6
1,4,2018-03-09,21.1,15.5,27.1
1,4,2018-03-10,23.1,17.6,29.2
1,4,2018-03-11,24.2,17.8,29.5
1,4,2018-03-12,16.2,10.4,21.5
1,4,2018-03-13,19.3,13.8,25.7
1,4,2018-03-14,19.5,13.8,25.6
1,4,2018-03-15,21.5,16,27.4
1,4,2018-03-16,22,16.3,27.5
1,4,2018-03-17,24,18.5,29.9
1,4,2018-03-18,25.1,19.6,30.8
1,4,2018-03-19,17.1,10.9,23
1,4,2018-03-20,20.2,14.4,25.7
1,4,2018-03-21,20.3,14.4,26.3
1,4,2018-03-22,22.3,16.1,28.3
1,4,2018-03-23,22.8,16.5,28.7
1,4,2018-03-24,24.8,19.4,30.8
1,4,2018-03-25,25.9,19.8,32.1
1,4,2018-03-26,17.9,12.2,23.6
1,4,2018-03-27,21,15.1,26.8
1,4,2018-03-28,21.1,15.2,26.6
1,4,2018-03-29,23.1,17.2,28.7
1,4,2018-03-30,23.6,17.7,29.5
1,4,2018-03-31,25.7,19.8,31.5
1,5,2018-01-01,10.7,5.8,15.9
1,5,2018-01-02,13,7.5,18.3
1,5,2018-01-03,13.4,8.2,18.6
1,5,2018-01-04,14.9,10.1,20.3
1,5,2018-01-05,15.2,10.2,20
1,5,2018-01-06,16.5,11.6,21.5
1,5,2018-01-07,17.6,12.7,23.2
1,5,2018-01-08,11.1,6.1,16.3
1,5,2018-01-09,13.4,8.1,18
1,5,2018-01-10,13.7,7.9,19
1,5,2018-01-11,15.2,9.8,20.2
1,5,2018-01-12,15.5,10.3,20.7
1,5,2018-01-13,16.7,11.9,21.7
1,5,2018-01-14,17.8,12.4,22.8
1,5,2018-01-15,11.3,5.9,17.1
1,5,2018-01-16,13.5,8.2,18.9
1,5,2018-01-17,13.7,8.7,19
1,5,2018-01-18,15.2,9.8,20.2
1,5,2018-01-19,15.5,10.4,20.7
1,5,2018-01-20,16.7,11.5,21.6
1,5,2018-01-21,17.8,12.7,23
1,5,2018-01-22,11.2,6.3,16.4
1,5,2018-01-23,13.4,8.6,18.2
1,5,2018-01-24,13.7,8.3,19.2
1,5,2018-01-25,15.2,9.7,20.3
1,5,2018-01-26,15.5,10.1,20.8
1,5,2018-01-27,16.8,11.5,22
1,5,2018-01-28,17.8,12.6,23.3
1,5,2018-01-29,11.3,6,16.4
1,5,2018-01-30,13.5,8.4,18.6
1,5,2018-01-31,13.9,8.6,18.9
1,5,2018-02-01,15.4,10.4,20.6
1,5,2018-02-02,15.7,10.5,20.9
1,5,2018-02-03,17,12.1,22.4
1,5,2018-02-04,18.1,13.1,23.2
1,5,2018-02-05,11.6,6.6,16.6
1,5,2018-02-06,13.9,9.1,19.9
1,5,2018-02-07,14.3,9.2,19.1
1,5,2018-02-08,15.8,10.8,20.5
1,5,2018-02-09,16.2,10.9,21.5
1,5,2018-02-10,17.5,12.2,22.5
1,5,2018-02-11,18.6,13.4,23.5
1,5,2018-02-12,12.1,6.9,17.2
1,5,2018-02-13,14.4,9.4,19.5
1,5,2018-02-14,14.8,9.7,20
1,5,2018-02-15,16.3,11.1,21.5
1,5,2018-02-16,16.7,11.7,21.7
1,5,2018-02-17,18,13.3,23.1
1,5,2018-02-18,19.1,14.3,24.4
1,5,2018-02-19,12.7,7.5,17.8
1,5,2018-02-20,14.9,10.1,19.8
1,5,2018-02-21,15.3,10.2,20.6
1,5,2018-02-22,16.8,11.9,22.3
1,5,2018-02-23,17.2,11.8,22.2
1,5,2018-02-24,18.5,13.6,24.1
1,5,2018-02-25,19.6,13.8,24.4
1,5,2018-02-26,13.1,8,18.2
1,5,2018-02-27,15.4,10.1,20.4
1,5,2018-02-28,15.7,11,21
1,5,2018-03-01,17.3,12,22.3
1,5,2018-03-02,17.6,12.5,22.7
1,5,2018-03-03,18.9,13.8,23.9
1,5,2018-03-04,20.1,14.6,25.2
1,5,2018-03-05,13.6,8.3,18.6
1,5,2018-03-06,15.9,10.7,21.2
1,5,2018-03-07,16.2,11,21.3
1,5,2018-03-08,17.8,12.7,23.2
1,5,2018-03-09,18.2,12.6,23.2
1,5,2018-03-10,19.5,14.4,24.3
1,5,2018-03-11,20.7,15.7,25.9
1,5,2018-03-12,14.2,8.9,19.1
1,5,2018-03-13,16.5,11.8,21.9
1,5,2018-03-14,16.9,11.7,22.2
1,5,2018-03-15,18.5,13.3,23.9
1,5,2018-03-16,18.9,13.7,24.1
1,5,2018-03-17,20.2,15.1,25.3
1,5,2018-03-18,21.4,16.2,26.6
1,5,2018-03-19,14.9,9.9,19.9
1,5,2018-03-20,17.3,12.2,22.5
1,5,2018-03-21,17.6,12.4,22.7
1,5,2018-03-22,19.2,13.7,24.5
1,5,2018-03-23,19.6,14.7,24.8
1,5,2018-03-24,21,15.8,26.2
1,5,2018-03-25,22.1,17,26.9
1,5,2018-03-26,15.7,10.2,20.8
1,5,2018-03-27,18,12.7,23.1
1,5,2018-03-28,18.4,13.3,23.8
1,5,2018-03-29,19.9,14.7,25.2
1,5,2018-03-30,20.3,15.1,25.6
1,5,2018-03-31,21.6,16.4,26.8
1,6,2018-01-01,35.8,26.2,46.3
1,6,2018-01-02,43.2,33.7,53.6
1,6,2018-01-03,43.5,33.5,53.7
1,6,2018-01-04,45.5,34.8,54.8
1,6,2018-01-05,49.9,40.7,60
1,6,2018-01-06,53.5,43.6,63
1,6,2018-01-07,57,46.8,66.5
1,6,2018-01-08,35.5,25.8,45.2
1,6,2018-01-09,42.9,33.3,53.2
1,6,2018-01-10,43.2,33.1,52.5
1,6,2018-01-11,45.2,35.1,54.9
1,6,2018-01-12,49.5,39.8,60
1,6,2018-01-13,53.2,43.1,62.9
1,6,2018-01-14,56.7,47.3,66.9
1,6,2018-01-15,35.3,25,44.9
1,6,2018-01-16,42.6,33.4,52.7
1,6,2018-01-17,43.1,33.8,53.1
1,6,2018-01-18,45.1,35.5,55.1
1,6,2018-01-19,49.5,40.1,59.3
1,6,2018-01-20,53.3,43.9,62
1,6,2018-01-21,56.8,46.9,66.5
1,6,2018-01-22,35.5,25.6,45.5
1,6,2018-01-23,43,33.4,52.4
1,6,2018-01-24,43.5,33.5,53.7
1,6,2018-01-25,45.6,36,55.7
1,6,2018-01-26,50.1,39.8,60.2
1,6,2018-01-27,53.9,44.1,63.3
1,6,2018-01-28,57.5,48,66.5
1,6,2018-01-29,36.2,25.9,45.7
1,6,2018-01-30,43.7,33.6,53.8
1,6,2018-01-31,44.3,35,53.9
1,6,2018-02-01,46.4,36.7,56.2
1,6,2018-02-02,50.9,41.4,61.3
1,6,2018-02-03,54.8,44.5,64.4
1,6,2018-02-04,58.5,48.5,68.6
1,6,2018-02-05,37.2,27.3,46.8
1,6,2018-02-06,44.8,35.1,55.1
1,6,2018-02-07,45.3,35.3,54.9
1,6,2018-02-08,47.6,37.3,57.7
1,6,2018-02-09,52.1,42.2,62.1
1,6,2018-02-10,56,46.5,65.8
1,6,2018-02-11,59.8,50.2,69.4
1,6,2018-02-12,38.6,28.6,47.7
1,6,2018-02-13,46.2,36.7,56.2
1,6,2018-02-14,46.9,37.2,55.8
1,6,2018-02-15,49.2,39,59.5
1,6,2018-02-16,53.9,44.1,64
1,6,2018-02-17,57.9,47.8,68.3
1,6,2018-02-18,61.8,51.9,71.3
1,6,2018-02-19,40.7,30.5,50
1,6,2018-02-20,48.5,39.5,58.3
1,6,2018-02-21,49.2,39.5,59.3
1,6,2018-02-22,51.6,41.1,61.1
1,6,2018-02-23,56.4,46.4,66.4
1,6,2018-02-24,60.5,50.9,70.2
1,6,2018-02-25,64.4,55.1,74.4
1,6,2018-02-26,43.4,34,53.5
1,6,2018-02-27,51.2,41.8,60.1
1,6,2018-02-28,52,42.1,61.2
1,6,2018-03-01,54.4,44.9,64.2
1,6,2018-03-02,59.1,49.6,68.3
1,6,2018-03-03,63.2,53.3,72.5
1,6,2018-03-04,67,57.7,76.7
1,6,2018-03-05,45.9,36.1,55.4
1,6,2018-03-06,53.6,43.8,63.3
1,6,2018-03-07,54.3,43.8,64.1
1,6,2018-03-08,56.6,45.7,66.4
1,6,2018-03-09,61.1,51.1,71
1,6,2018-03-10,65.1,56.2,75
1,6,2018-03-11,68.8,59.4,78.6
1,6,2018-03-12,47.6,37.1,57.3
1,6,2018-03-13,55.1,45.6,64.9
1,6,2018-03-14,55.6,46.3,65.6
1,6,2018-03-15,57.8,47.3,67.6
1,6,2018-03-16,62.3,51.7,72.5
1,6,2018-03-17,66.1,56,75.4
1,6,2018-03-18,69.7,60.1,79.6
1,6,2018-03-19,48.4,38.7,58
1,6,2018-03-20,55.9,46.3,65.2
1,6,2018-03-21,56.4,46.5,66
1,6,2018-03-22,58.6,48.6,68.5
1,6,2018-03-23,63.1,53.6,72.8
1,6,2018-03-24,67,57.5,76.2
1,6,2018-03-25,70.6,59.7,80.5
1,6,2018-03-26,49.4,39.8,59
1,6,2018-03-27,57,47.6,66.5
1,6,2018-03-28,57.6,47.5,67.8
1,6,2018-03-29,59.8,50.2,69.9
1,6,2018-03-30,64.4,54.5,73.6
1,6,2018-03-31,68.4,58.6,78.2
1,7,2018-01-01,33.4,23.9,43
1,7,2018-01-02,40.4,30.6,50.6
1,7,2018-01-03,40.5,29.7,50.2
1,7,2018-01-04,44.7,34.2,54.6
1,7,2018-01-05,47.2,36.7,57
1,7,2018-01-06,52.3,42.5,62.2
1,7,2018-01-07,54.6,44.9,63.5
1,7,2018-01-08,33.4,22.9,43.2
1,7,2018-01-09,40.4,30.4,50.3
1,7,2018-01-10,40.6,29.5,49.8
1,7,2018-01-11,44.8,35,54.5
1,7,2018-01-12,47.4,37.5,57.5
1,7,2018-01-13,52.6,43.2,62.9
1,7,2018-01-14,55,44.9,65.4
1,7,2018-01-15,33.8,24.1,44.3
1,7,2018-01-16,41,30.9,50.6
1,7,2018-01-17,41.3,31.2,51.1
1,7,2018-01-18,45.5,36,56.4
1,7,2018-01-19,48.3,38.2,57.5
1,7,2018-01-20,53.5,44.2,63.5
1,7,2018-01-21,55.9,46.5,65.7
1,7,2018-01-22,34.8,25.2,44.7
1,7,2018-01-23,42,32.6,51.9
1,7,2018-01-24,42.3,31.7,52.4
1,7,2018-01-25,46.6,36.8,56
1,7,2018-01-26,49.3,39.5,59.6
1,7,2018-01-27,54.5,44.1,64.9
1,7,2018-01-28,56.9,46.6,66.5
1,7,2018-01-29,35.7,26.3,45.6
1,7,2018-01-30,42.9,33.1,52.8
1,7,2018-01-31,43.1,33.6,52.2
1,7,2018-02-01,47.3,37.6,57.2
1,7,2018-02-02,50,40.5,59.6
1,7,2018-02-03,55.1,45.6,65.2
1,7,2018-02-04,57.5,47.3,67.6
1,7,2018-02-05,36.3,26.1,46.3
1,7,2018-02-06,43.4,32.8,53.2
1,7,2018-02-07,43.6,32.9,53.7
1,7,2018-02-08,47.8,38,58
1,7,2018-02-09,50.5,41.2,60.5
1,7,2018-02-10,55.7,45.9,65.7
1,7,2018-02-11,58.1,47.9,68.1
1,7,2018-02-12,37,27.3,46.7
1,7,2018-02-13,44.2,33.8,53.7
1,7,2018-02-14,44.5,34.1,54.5
1,7,2018-02-15,48.9,38.9,58.6
1,7,2018-02-16,51.7,41.2,62.1
1,7,2018-02-17,57,47,66.8
1,7,2018-02-18,59.6,49.6,69.2
1,7,2018-02-19,38.7,29.2,48.8
1,7,2018-02-20,46,36.5,55.5
1,7,2018-02-21,46.5,36.7,56.1
1,7,2018-02-22,51,40.4,60.6
1,7,2018-02-23,53.9,44.2,64.1
1,7,2018-02-24,59.4,49.6,69.6
1,7,2018-02-25,62,52.5,72.5
1,7,2018-02-26,41.2,31.6,51.4
1,7,2018-02-27,48.6,38.5,57.4
1,7,2018-02-28,49.1,38.4,58.5
1,7,2018-03-01,53.6,43.6,63.1
1,7,2018-03-02,56.5,47.8,66.6
1,7,2018-03-03,61.9,51.9,70.9
1,7,2018-03-04,64.5,54.5,74.5
1,7,2018-03-05,43.6,33.6,53.9
1,7,2018-03-06,50.9,41.2,60.7
1,7,2018-03-07,51.3,40.8,61.9
1,7,2018-03-08,55.7,45.9,65.9
1,7,2018-03-09,58.5,48.4,68.5
1,7,2018-03-10,63.8,53.9,73.6
1,7,2018-03-11,66.3,56.4,76.4
1,7,2018-03-12,45.2,35.1,54.2
1,7,2018-03-13,52.4,41.6,62.2
1,7,2018-03-14,52.7,42.7,62.4
1,7,2018-03-15,57,47.4,66.7
1,7,2018-03-16,59.8,50.5,69.8
1,7,2018-03-17,65.1,55.2,75.1
1,7,2018-03-18,67.5,56.7,76.7
1,7,2018-03-19,46.5,36.4,56.9
1,7,2018-03-20,53.7,44.1,63.8
1,7,2018-03-21,54.1,44.2,63.8
