store,item,week,weekly_forecast,weekly_lower,weekly_upper
1,26,2018-01-28,280,219,342
1,26,2018-02-04,286,225,348
1,26,2018-02-11,290,229,351
1,26,2018-02-18,297,237,359
1,26,2018-02-25,309,246,370
1,26,2018-03-04,322,260,384
1,26,2018-03-11,334,274,396
1,26,2018-03-18,344,282,405
1,26,2018-03-25,354,293,417
1,27,2017-12-31,103,67,137
1,27,2018-01-07,122,80,163
1,27,2018-01-14,121,79,161
1,27,2018-01-21,123,83,163
1,27,2018-01-28,126,86,166
1,27,2018-02-04,126,85,167
1,27,2018-02-11,126,86,166
1,27,2018-02-18,130,90,171
1,27,2018-02-25,141,100,182
1,27,2018-03-04,152,112,192
1,27,2018-03-11,157,117,199
1,27,2018-03-18,157,117,198
1,27,2018-03-25,157,116,197
1,28,2017-12-31,410,334,487
1,28,2018-01-07,491,402,577
1,28,2018-01-14,491,405,580
1,28,2018-01-21,501,414,590
1,28,2018-01-28,514,427,600
1,28,2018-02-04,522,433,613
1,28,2018-02-11,528,443,616
1,28,2018-02-18,540,454,629
1,28,2018-02-25,561,472,649
1,28,2018-03-04,586,497,675
1,28,2018-03-11,609,518,696
1,28,2018-03-18,627,537,714
1,28,2018-03-25,645,555,734
1,29,2017-12-31,326,262,387
1,29,2018-01-07,394,324,468
1,29,2018-01-14,395,322,469
1,29,2018-01-21,400,327,474
1,29,2018-01-28,406,333,483
1,29,2018-02-04,410,336,484
1,29,2018-02-11,417,345,490
1,29,2018-02-18,431,356,504
1,29,2018-02-25,452,378,525
1,29,2018-03-04,470,395,546
1,29,2018-03-11,481,406,556
1,29,2018-03-18,486,413,560
1,29,2018-03-25,496,422,570
1,30,2017-12-31,189,140,238
1,30,2018-01-07,230,172,284
1,30,2018-01-14,229,173,284
1,30,2018-01-21,232,176,288
1,30,2018-01-28,238,183,294
1,30,2018-02-04,244,188,302
1,30,2018-02-11,251,196,307
1,30,2018-02-18,258,202,314
1,30,2018-02-25,270,212,326
1,30,2018-03-04,283,226,340
1,30,2018-03-11,294,238,350
1,30,2018-03-18,299,244,355
1,30,2018-03-25,302,246,358
1,31,2017-12-31,264,208,320
1,31,2018-01-07,320,251,388
1,31,2018-01-14,323,256,392
1,31,2018-01-21,331,264,400
1,31,2018-01-28,337,270,405
1,31,2018-02-04,339,272,407
1,31,2018-02-11,341,274,406
1,31,2018-02-18,352,286,420
1,31,2018-02-25,371,306,440
1,31,2018-03-04,392,323,458
1,31,2018-03-11,407,339,476
1,31,2018-03-18,417,350,484
1,31,2018-03-25,428,360,495
1,32,2017-12-31,202,153,252
1,32,2018-01-07,242,182,302
1,32,2018-01-14,243,183,303
1,32,2018-01-21,248,188,308
1,32,2018-01-28,256,197,317
1,32,2018-02-04,264,204,324
1,32,2018-02-11,270,210,330
1,32,2018-02-18,276,215,335
1,32,2018-02-25,284,225,344
1,32,2018-03-04,295,235,353
1,32,2018-03-11,306,248,368
1,32,2018-03-18,315,256,375
1,32,2018-03-25,326,267,383
1,33,2017-12-31,331,265,396
1,33,2018-01-07,394,320,471
1,33,2018-01-14,389,312,464
1,33,2018-01-21,388,314,463
1,33,2018-01-28,392,315,469
1,33,2018-02-04,400,325,473
1,33,2018-02-11,414,337,488
1,33,2018-02-18,435,360,511
1,33,2018-02-25,459,382,535
1,33,2018-03-04,479,404,554
1,33,2018-03-11,490,413,564
1,33,2018-03-18,498,425,572
1,33,2018-03-25,509,435,583
1,34,2017-12-31,121,84,157
1,34,2018-01-07,146,102,189
1,34,2018-01-14,145,102,189
1,34,2018-01-21,145,101,188
1,34,2018-01-28,147,103,189
1,34,2018-02-04,152,108,196
1,34,2018-02-11,157,114,201
1,34,2018-02-18,161,118,206
1,34,2018-02-25,165,122,208
1,34,2018-03-04,170,128,213
1,34,2018-03-11,176,134,220
1,34,2018-03-18,183,138,227
1,34,2018-03-25,188,144,231
1,35,2017-12-31,302,239,362
1,35,2018-01-07,366,295,438
1,35,2018-01-14,368,294,442
1,35,2018-01-21,373,300,446
1,35,2018-01-28,381,304,455
1,35,2018-02-04,390,316,464
1,35,2018-02-11,401,326,476
1,35,2018-02-18,412,337,484
1,35,2018-02-25,423,349,497
1,35,2018-03-04,433,359,509
1,35,2018-03-11,444,369,518
1,35,2018-03-18,458,386,535
1,35,2018-03-25,475,402,550
1,36,2017-12-31,352,287,420
1,36,2018-01-07,419,340,498
1,36,2018-01-14,414,335,493
1,36,2018-01-21,418,338,496
1,36,2018-01-28,429,349,506
1,36,2018-02-04,438,360,518
1,36,2018-02-11,447,369,526
1,36,2018-02-18,462,382,540
1,36,2018-02-25,486,405,565
1,36,2018-03-04,511,431,589
1,36,2018-03-11,528,450,608
1,36,2018-03-18,538,462,617
1,36,2018-03-25,549,472,627
1,37,2017-12-31,131,89,172
1,37,2018-01-07,159,112,207
1,37,2018-01-14,163,114,213
1,37,2018-01-21,166,118,213
1,37,2018-01-28,167,119,214
1,37,2018-02-04,168,119,216
1,37,2018-02-11,174,128,224
1,37,2018-02-18,185,138,233
1,37,2018-02-25,195,146,243
1,37,2018-03-04,199,150,246
1,37,2018-03-11,200,151,249
1,37,2018-03-18,202,154,250
1,37,2018-03-25,209,162,258
1,38,2017-12-31,374,302,445
1,38,2018-01-07,453,370,537
1,38,2018-01-14,458,377,543
1,38,2018-01-21,465,380,550
1,38,2018-01-28,471,387,552
1,38,2018-02-04,475,393,559
1,38,2018-02-11,483,400,568
1,38,2018-02-18,500,414,584
1,38,2018-02-25,520,435,604
1,38,2018-03-04,541,458,627
1,38,2018-03-11,559,477,643
1,38,2018-03-18,579,494,662
1,38,2018-03-25,600,517,684
1,39,2017-12-31,200,149,251
1,39,2018-01-07,238,178,298
1,39,2018-01-14,239,180,298
1,39,2018-01-21,246,186,306
1,39,2018-01-28,252,193,312
1,39,2018-02-04,254,194,314
1,39,2018-02-11,256,197,316
1,39,2018-02-18,266,206,326
1,39,2018-02-25,282,223,341
1,39,2018-03-04,296,238,357
1,39,2018-03-11,304,246,364
1,39,2018-03-18,309,248,369
1,39,2018-03-25,318,260,378
1,40,2017-12-31,137,98,176
1,40,2018-01-07,165,119,211
1,40,2018-01-14,164,119,210
1,40,2018-01-21,164,119,210
1,40,2018-01-28,167,121,214
1,40,2018-02-04,173,127,220
1,40,2018-02-11,180,134,226
1,40,2018-02-18,187,141,234
1,40,2018-02-25,192,146,238
1,40,2018-03-04,194,149,242
1,40,2018-03-11,198,152,242
1,40,2018-03-18,204,160,250
1,40,2018-03-25,214,168,260
1,41,2017-12-31,105,71,140
1,41,2018-01-07,119,80,161
1,41,2018-01-14,115,74,155
1,41,2018-01-21,118,79,160
1,41,2018-01-28,126,86,166
1,41,2018-02-04,131,92,172
1,41,2018-02-11,132,91,172
1,41,2018-02-18,132,91,172
1,41,2018-02-25,136,97,177
1,41,2018-03-04,145,105,186
1,41,2018-03-11,153,113,194
1,41,2018-03-18,158,118,198
1,41,2018-03-25,161,120,202
1,42,2017-12-31,160,115,205
1,42,2018-01-07,197,147,248
1,42,2018-01-14,201,151,252
1,42,2018-01-21,205,154,255
1,42,2018-01-28,208,156,258
1,42,2018-02-04,212,161,262
1,42,2018-02-11,221,170,272
1,42,2018-02-18,231,180,282
1,42,2018-02-25,239,188,289
1,42,2018-03-04,244,192,295
1,42,2018-03-11,249,199,301
1,42,2018-03-18,258,206,310
1,42,2018-03-25,269,219,320
1,43,2017-12-31,238,184,294
1,43,2018-01-07,283,220,348
1,43,2018-01-14,277,213,342
1,43,2018-01-21,279,218,344
1,43,2018-01-28,288,224,350
1,43,2018-02-04,297,232,362
1,43,2018-02-11,305,241,368
1,43,2018-02-18,313,248,378
1,43,2018-02-25,326,261,390
1,43,2018-03-04,338,275,404
1,43,2018-03-11,348,285,411
1,43,2018-03-18,354,291,418
1,43,2018-03-25,364,298,430
1,44,2017-12-31,141,101,182
1,44,2018-01-07,169,122,218
1,44,2018-01-14,169,122,216
1,44,2018-01-21,171,125,220
1,44,2018-01-28,174,127,221
1,44,2018-02-04,177,129,225
1,44,2018-02-11,181,135,228
1,44,2018-02-18,188,140,236
1,44,2018-02-25,197,150,243
1,44,2018-03-04,204,157,252
1,44,2018-03-11,209,162,257
1,44,2018-03-18,215,169,264
1,44,2018-03-25,223,176,270
1,45,2017-12-31,365,295,434
1,45,2018-01-07,442,362,524
1,45,2018-01-14,442,363,521
1,45,2018-01-21,446,367,525
1,45,2018-01-28,453,373,534
1,45,2018-02-04,464,384,545
1,45,2018-02-11,476,395,557
1,45,2018-02-18,492,408,574
1,45,2018-02-25,510,430,592
1,45,2018-03-04,529,447,608
1,45,2018-03-11,546,466,628
1,45,2018-03-18,562,478,641
1,45,2018-03-25,576,496,657
1,46,2017-12-31,273,215,332
1,46,2018-01-07,332,262,401
1,46,2018-01-14,334,266,400
1,46,2018-01-21,336,266,406
1,46,2018-01-28,339,272,409
1,46,2018-02-04,345,277,413
1,46,2018-02-11,356,289,426
1,46,2018-02-18,371,302,438
1,46,2018-02-25,385,319,453
1,46,2018-03-04,395,327,462
1,46,2018-03-11,402,332,469
1,46,2018-03-18,411,342,478
1,46,2018-03-25,427,357,495
1,47,2017-12-31,103,68,137
1,47,2018-01-07,122,84,162
1,47,2018-01-14,123,84,163
1,47,2018-01-21,127,88,167
1,47,2018-01-28,130,91,168
1,47,2018-02-04,133,92,172
1,47,2018-02-11,135,96,174
1,47,2018-02-18,139,99,177
1,47,2018-02-25,146,108,185
1,47,2018-03-04,154,115,192
1,47,2018-03-11,158,119,197
1,47,2018-03-18,160,121,200
1,47,2018-03-25,161,121,200
1,48,2017-12-31,237,182,292
1,48,2018-01-07,288,224,352
1,48,2018-01-14,291,227,355
1,48,2018-01-21,296,231,360
1,48,2018-01-28,303,239,366
1,48,2018-02-04,308,243,371
1,48,2018-02-11,315,250,380
1,48,2018-02-18,326,262,389
1,48,2018-02-25,340,275,403
1,48,2018-03-04,355,291,422
1,48,2018-03-11,367,303,432
1,48,2018-03-18,375,311,439
1,48,2018-03-25,382,321,444
1,49,2017-12-31,136,96,177
1,49,2018-01-07,162,115,208
1,49,2018-01-14,162,116,208
1,49,2018-01-21,165,118,210
1,49,2018-01-28,168,121,214
1,49,2018-02-04,169,123,216
1,49,2018-02-11,171,125,218
1,49,2018-02-18,176,130,223
1,49,2018-02-25,184,138,231
1,49,2018-03-04,193,146,239
1,49,2018-03-11,200,153,244
1,49,2018-03-18,206,160,252
1,49,2018-03-25,214,167,260
1,50,2017-12-31,300,238,362
1,50,2018-01-07,360,288,432
1,50,2018-01-14,360,287,434
1,50,2018-01-21,366,293,439
1,50,2018-01-28,376,304,447
1,50,2018-02-04,385,314,459
1,50,2018-02-11,394,320,468
1,50,2018-02-18,404,332,479
1,50,2018-02-25,418,342,492
1,50,2018-03-04,434,360,507
1,50,2018-03-11,449,375,523
1,50,2018-03-18,462,389,535
1,50,2018-03-25,474,401,548
2,1,2017-12-31,147,106,188
2,1,2018-01-07,175,127,223
2,1,2018-01-14,172,124,219
2,1,2018-01-21,171,122,219
2,1,2018-01-28,176,127,224
2,1,2018-02-04,182,135,230
2,1,2018-02-11,190,142,237
2,1,2018-02-18,197,150,244
2,1,2018-02-25,204,157,253
2,1,2018-03-04,209,161,257
2,1,2018-03-11,214,166,262
2,1,2018-03-18,219,171,267
2,1,2018-03-25,226,178,273
2,2,2017-12-31,370,297,444
2,2,2018-01-07,445,359,530
2,2,2018-01-14,447,361,531
2,2,2018-01-21,457,369,543
2,2,2018-01-28,471,384,558
2,2,2018-02-04,482,396,568
2,2,2018-02-11,492,407,577
2,2,2018-02-18,507,420,593
2,2,2018-02-25,528,443,614
2,2,2018-03-04,549,462,634
2,2,2018-03-11,564,476,652
2,2,2018-03-18,576,491,662
2,2,2018-03-25,592,506,677
2,3,2017-12-31,244,190,299
2,3,2018-01-07,293,227,357
2,3,2018-01-14,294,228,358
2,3,2018-01-21,300,235,362
2,3,2018-01-28,308,243,371
2,3,2018-02-04,313,249,379
2,3,2018-02-11,317,252,381
2,3,2018-02-18,326,261,390
2,3,2018-02-25,342,277,406
2,3,2018-03-04,359,296,423
2,3,2018-03-11,369,306,432
2,3,2018-03-18,372,308,437
2,3,2018-03-25,376,312,444
2,4,2017-12-31,141,101,180
2,4,2018-01-07,170,123,218
2,4,2018-01-14,173,125,221
2,4,2018-01-21,178,129,226
2,4,2018-01-28,183,136,230
2,4,2018-02-04,186,137,233
2,4,2018-02-11,189,141,235
2,4,2018-02-18,194,148,242
2,4,2018-02-25,202,153,249
2,4,2018-03-04,209,162,257
2,4,2018-03-11,215,168,261
2,4,2018-03-18,221,174,269
2,4,2018-03-25,228,181,276
2,5,2017-12-31,118,79,156
2,5,2018-01-07,147,102,191
2,5,2018-01-14,151,106,194
2,5,2018-01-21,153,109,198
2,5,2018-01-28,154,108,197
2,5,2018-02-04,153,108,197
2,5,2018-02-11,154,111,199
2,5,2018-02-18,159,114,204
2,5,2018-02-25,166,122,211
2,5,2018-03-04,175,130,219
2,5,2018-03-11,182,138,227
2,5,2018-03-18,188,143,232
2,5,2018-03-25,192,147,238
2,6,2017-12-31,369,299,440
2,6,2018-01-07,443,358,524
2,6,2018-01-14,446,365,529
2,6,2018-01-21,458,371,541
2,6,2018-01-28,469,385,552
2,6,2018-02-04,476,391,560
2,6,2018-02-11,482,396,567
2,6,2018-02-18,498,415,581
2,6,2018-02-25,524,441,609
2,6,2018-03-04,550,467,633
2,6,2018-03-11,566,482,648
2,6,2018-03-18,574,490,659
2,6,2018-03-25,585,502,668
2,7,2017-12-31,385,314,458
2,7,2018-01-07,458,371,543
2,7,2018-01-14,456,371,541
2,7,2018-01-21,465,378,550
2,7,2018-01-28,478,394,562
2,7,2018-02-04,488,406,572
2,7,2018-02-11,497,412,582
2,7,2018-02-18,510,427,593
2,7,2018-02-25,532,447,616
2,7,2018-03-04,556,472,643
2,7,2018-03-11,578,493,662
2,7,2018-03-18,598,514,680
2,7,2018-03-25,617,533,703
2,8,2017-12-31,503,417,589
2,8,2018-01-07,607,509,707
2,8,2018-01-14,606,505,706
2,8,2018-01-21,610,512,710
2,8,2018-01-28,622,523,720
2,8,2018-02-04,636,534,735
2,8,2018-02-11,652,553,748
2,8,2018-02-18,669,573,767
2,8,2018-02-25,691,591,791
2,8,2018-03-04,716,617,816
2,8,2018-03-11,744,645,844
2,8,2018-03-18,771,670,872
2,8,2018-03-25,796,696,896
2,9,2017-12-31,319,253,386
2,9,2018-01-07,386,306,463
2,9,2018-01-14,391,312,470
2,9,2018-01-21,403,325,484
2,9,2018-01-28,417,339,494
2,9,2018-02-04,429,350,507
2,9,2018-02-11,438,360,516
2,9,2018-02-18,450,371,530
2,9,2018-02-25,467,388,546
2,9,2018-03-04,485,407,564
2,9,2018-03-11,501,423,581
2,9,2018-03-18,514,435,595
2,9,2018-03-25,529,449,609
2,10,2017-12-31,488,404,571
2,10,2018-01-07,592,497,691
2,10,2018-01-14,591,496,688
2,10,2018-01-21,593,497,689
2,10,2018-01-28,599,504,695
2,10,2018-02-04,611,516,708
2,10,2018-02-11,627,530,723
2,10,2018-02-18,649,554,745
2,10,2018-02-25,675,580,772
2,10,2018-03-04,700,602,798
2,10,2018-03-11,718,622,818
2,10,2018-03-18,735,640,830
2,10,2018-03-25,755,657,853
2,11,2017-12-31,452,374,528
2,11,2018-01-07,543,455,635
2,11,2018-01-14,543,452,631
2,11,2018-01-21,554,462,642
2,11,2018-01-28,570,478,660
2,11,2018-02-04,585,495,677
2,11,2018-02-11,602,509,692
2,11,2018-02-18,624,537,715
2,11,2018-02-25,652,560,742
2,11,2018-03-04,676,586,766
2,11,2018-03-11,692,602,786
2,11,2018-03-18,704,613,794
2,11,2018-03-25,721,631,813
2,12,2017-12-31,450,371,529
2,12,2018-01-07,534,439,628
2,12,2018-01-14,536,441,628
2,12,2018-01-21,552,458,644
2,12,2018-01-28,568,474,661
2,12,2018-02-04,578,483,672
2,12,2018-02-11,587,492,682
2,12,2018-02-18,606,511,701
2,12,2018-02-25,633,538,724
2,12,2018-03-04,659,566,754
2,12,2018-03-11,676,582,770
2,12,2018-03-18,692,598,786
2,12,2018-03-25,716,623,811
2,13,2017-12-31,535,448,624
2,13,2018-01-07,651,547,751
2,13,2018-01-14,655,553,758
2,13,2018-01-21,665,563,770
2,13,2018-01-28,677,574,778
2,13,2018-02-04,688,587,792
2,13,2018-02-11,703,601,801
2,13,2018-02-18,728,626,831
2,13,2018-02-25,766,664,868
2,13,2018-03-04,804,704,907
2,13,2018-03-11,831,726,934
2,13,2018-03-18,845,743,946
2,13,2018-03-25,858,755,958
2,14,2017-12-31,383,311,455
